Distrito;Renta neta media por persona;Renta neta media por hogar;Media de la renta neta por unidad de consumo;Mediana de la renta neta por unidad de consumo;Renta bruta media por persona;Renta media bruta por hogar
01. Centro;20.587;41.059;28.500;22.050;27.030;53.908
02. Arganzuela;21.383;49.236;31.038;28.350;27.431;63.160
03. Retiro;25.407;60.762;37.916;31.850;33.396;79.868
04. Salamanca;28.140;64.925;42.592;31.150;38.751;89.407
05. Chamartín;30.506;74.842;47.564;34.650;42.678;104.706
06. Tetuán;18.062;42.465;25.955;20.650;22.890;53.816
07. Chamberí;27.076;60.032;40.145;31.150;36.934;81.889
08. Fuencarral-El Pardo;21.947;58.214;34.241;28.350;28.798;76.386
09. Moncloa-Aravaca;26.694;68.238;41.666;30.450;36.592;93.541
10. Latina;14.375;35.669;20.833;18.550;17.267;42.843
11. Carabanchel;12.764;33.786;18.831;16.450;15.239;40.339
12. Usera;11.430;31.996;17.143;15.050;13.481;37.737
13. Puente de Vallecas;11.452;30.339;16.852;15.050;13.354;35.380
14. Moratalaz;16.437;40.325;23.900;21.350;20.091;49.289
15. Ciudad Lineal;17.808;43.738;26.175;21.350;22.440;55.112
16. Hortaleza;21.766;57.506;34.164;26.950;29.047;76.741
17. Villaverde;11.563;32.527;17.366;15.750;13.604;38.269
18. Villa de Vallecas;14.274;36.998;21.433;19.250;17.346;44.960
19. Vicálvaro;14.832;39.505;22.364;20.650;18.214;48.513
20. San Blas-Canillejas;15.902;41.474;23.785;19.950;19.768;51.558
21. Barajas;20.788;54.343;31.942;26.950;27.125;70.909
