"id","mode","stop_name","stop_desc","lat","lon"
1423,4,PLAZA DE CASTILLA,Paseo de la Castellana 189,40.466900000,-3.689170000
1424,4,TRIBUNAL,Calle de Fuencarral 81,40.426190000,-3.701100000
1425,4,GRAN VIA,Calle   Gran Vía 23,40.420010000,-3.701800000
1426,4,SOL,Plaza de la Puerta del Sol 6,40.416880000,-3.703260000
1427,4,TIRSO DE MOLINA,Plaza de Tirso de Molina 7,40.412350000,-3.704660000
1428,4,ANTON MARTIN,Calle de Atocha 50,40.412460000,-3.699370000
1429,4,ESTACION DEL ARTE,Plaza del Emperador Carlos V 11,40.408850000,-3.692490000
1430,4,ATOCHA,Avda de la Ciudad de Barcelona 2 B,40.406590000,-3.689380000
1431,4,MENENDEZ PELAYO,Avda de la Ciudad de Barcelona 23,40.404450000,-3.680980000
1432,4,PACIFICO,Avda de la Ciudad de Barcelona 79,40.401260000,-3.675140000
1433,4,PUENTE DE VALLECAS,Avda de la Albufera 1,40.398190000,-3.669060000
1434,4,VALDEACEDERAS,Calle de Bravo Murillo 332,40.464420000,-3.695060000
1435,4,NUEVA NUMANCIA,Avda de la Albufera 70,40.395540000,-3.664140000
1436,4,PORTAZGO,Avda de la Albufera 131,40.392660000,-3.658680000
1437,4,BUENOS AIRES,Avda de la Albufera 179,40.391560000,-3.653910000
1438,4,ALTO DEL ARENAL,Calle de Santillana del Mar 21,40.389770000,-3.645220000
1439,4,MIGUEL HERNANDEZ,Calle de León Felipe 4 A,40.387320000,-3.639510000
1440,4,SIERRA DE GUADALUPE,Avda de la Democracia 1,40.382160000,-3.624720000
1441,4,VILLA DE VALLECAS,Paseo de Federico García Lorca 2,40.379600000,-3.621300000
1442,4,CHAMARTIN,Calle de Agustín de Foxá 40,40.472030000,-3.682590000
1443,4,BAMBU,Calle del Bambú 14,40.476820000,-3.676370000
1444,4,PINAR DE CHAMARTIN,Calle de Arturo Soria 330,40.480140000,-3.666800000
1445,4,CONGOSTO,Calle del Congosto 48,40.372380000,-3.618840000
1446,4,LA GAVIA,Avda del Ensanche de Vallecas 16,40.370190000,-3.613460000
1447,4,LAS SUERTES,Calle de Cañada del Santísimo 45,40.363230000,-3.599530000
1448,4,VALDECARROS,Avda del Ensanche de Vallecas 120 A,40.360070000,-3.593160000
1449,4,TETUAN,Calle de Bravo Murillo 264,40.460550000,-3.698250000
1450,4,ESTRECHO,Calle de Bravo Murillo 191,40.454290000,-3.703020000
1451,4,ALVARADO,Calle de Bravo Murillo 138,40.450330000,-3.703310000
1452,4,CUATRO CAMINOS,Gta de Cuatro Caminos 2,40.446970000,-3.703970000
1453,4,RIOS ROSAS,Calle de Ríos Rosas 22,40.441980000,-3.701330000
1454,4,IGLESIA,Gta del Pintor Sorolla 2,40.434920000,-3.698980000
1455,4,BILBAO,Calle de Sagasta 2,40.429060000,-3.702180000
1456,4,LA ELIPA,Avda del Marqués de Corbera 58,40.426620000,-3.650520000
1457,4,VENTAS,Calle de Alcalá 204,40.430880000,-3.663660000
1458,4,MANUEL BECERRA,Plaza de Manuel Becerra 1,40.427900000,-3.669260000
1459,4,GOYA,Calle de Alcalá 96,40.424550000,-3.675910000
1460,4,PRINCIPE DE VERGARA,Calle de Alcalá 123,40.422940000,-3.680120000
1461,4,RETIRO,Calle de Alcalá 81,40.420310000,-3.686240000
1462,4,LA ALMUDENA,Calle de Arriaga 75,40.423610000,-3.639140000
1463,4,ALSACIA,Plaza de Alsacia S/N,40.418290000,-3.623510000
