neighbourhood_group_cleansed,bathrooms,bedrooms,price,calefaccion,piscina,aire_acondicionado,ascensor,movilidad_reducida,terraza,balcon,distance_to_center,distance_to_retiro,distance_to_atocha,distance_to_chamartin,renta_bin,DISTANCE_TO_METRO,DISTANCE_TO_CERCANIAS,DISTANCE_TO_EMT,DISTANCE_TO_INTERURBANOS,DISTANCE_TO_MLO
Centro,1,1,66.0,1,0,0,1,0,0,1,0.009614390256277803,0.023642753383649545,0.026405173787727325,0.05441833963186851,bajo,65.55015632735018,891.9658707340521,12.560164288001008,900.7467955866707,7264.107058403702
Centro,1,1,89.0,1,0,1,0,0,0,0,0.0058658673697895266,0.015914787575082728,0.02038113389289066,0.052482442552627406,bajo,284.9780360837771,631.6001349887482,57.02703473084246,1512.0887145144943,7077.3640170683675
Centro,1,3,173.0,1,0,1,0,0,1,0,0.0053447263727956044,0.01658568586341878,0.014387515100250773,0.06356951582551211,bajo,95.4827531302287,605.8450207100972,116.82043829178093,1024.485790043475,8264.204209142878
Centro,1,1,72.0,1,0,1,1,1,0,0,0.008140221127222094,0.01675861377202801,0.012702382877238893,0.06606926238645258,bajo,241.641665022971,403.34443594252787,112.8463448083883,902.6279535248133,6146.0678852352985
Centro,1,3,189.0,1,0,1,1,0,1,0,0.009336514338874334,0.011410315489063273,0.0077659818928456845,0.06401048354987939,bajo,255.40516206270559,608.0100472655868,229.32713632795193,436.3638830374137,6629.512164254388
Arganzuela,1,1,94.0,1,0,1,1,0,0,0,0.013334020398965824,0.011043702438945072,0.003928910632732373,0.06623742534466093,medio,338.79981072793794,500.82767311344855,63.02255914535089,165.9118640690699,6817.115544254077
Centro,1,1,89.0,1,0,0,0,0,0,0,0.0049713680209772316,0.02050937462625342,0.021056155935022046,0.05947381775445196,bajo,85.95678441344003,483.14049893138616,156.54706064607774,989.0809759528391,6028.212911836567
Centro,1,1,90.0,1,0,0,0,0,0,1,0.005525450207900943,0.02105618682382934,0.02163720589077917,0.059433410522110465,bajo,42.27296340674491,531.4604143083282,201.01130624059502,938.7064483559471,5998.781489999544
Chamberí,1,1,87.0,1,1,1,1,0,0,0,0.023583216489698685,0.0236006799808853,0.032906283757970806,0.034974961076313836,alto,204.55294585344646,944.1856895874564,168.9300728183236,1440.579294957535,5191.651379731211
Centro,1,1,82.0,1,0,1,0,0,0,1,0.007366098017266986,0.021531226150871503,0.01949016302548639,0.06453254616307351,bajo,174.7680009031524,749.3931818481649,138.51321163466434,1204.2383383163176,5762.653649184645
Centro,1,2,170.0,1,0,0,1,0,1,0,0.009276346263481528,0.02031522098230989,0.02493346182863655,0.0504962747763583,bajo,190.14718978358297,1027.068016084406,154.84097797892483,1359.03017398628,6864.978214140381
Centro,1,1,229.0,1,0,0,1,1,0,0,0.006027354311801817,0.021566725193223283,0.021950077693712527,0.059872005497473464,bajo,75.66994755486024,572.7945415199492,202.7536919814161,901.7267208838365,5946.239726729137
Centro,2,2,177.0,1,0,1,1,0,0,0,0.00729756123646873,0.008343630358543198,0.011114972008960009,0.05803031335681218,bajo,380.39545348588155,574.0621683380926,171.85438074164205,849.8559677185227,7642.566388072221
Centro,1,1,86.0,1,0,0,1,0,0,0,0.004360183482376141,0.01658739930067474,0.020049688545211716,0.05421273809991199,bajo,191.5364409816584,482.80828271919455,92.37579119125498,1376.3747144214976,7262.591814821461
Centro,1,1,57.0,1,0,1,0,0,0,0,0.00947114037484439,0.014569372792263629,0.009688721213865223,0.06615710306754213,bajo,78.95431953814561,332.380168140383,73.35635964297907,614.6592469430578,6367.415909593666
Centro,1,1,87.0,1,0,1,1,0,0,0,0.0030206290735540135,0.016331133811220734,0.015655405672164075,0.06133297441254102,bajo,171.05822793068742,353.0975255681016,102.26750398916363,1170.5034905690895,6223.601299271328
Centro,1,1,88.0,1,0,1,1,0,0,0,0.003524102722679745,0.01906008235973838,0.0196356093554534,0.059368737600607305,bajo,207.69938984958338,359.25685705123226,90.72454182247192,1118.4862771154358,6120.136825480529
Centro,1,1,118.0,1,0,1,0,0,0,0,0.009432841565510233,0.017974083775261034,0.02358565035694588,0.04910378537637858,bajo,49.94064197801789,1034.5447651706647,82.54192753672184,1585.3065650926412,6719.111068476137
Centro,2,1,114.0,1,0,1,1,0,0,0,0.010862729859479746,0.02549552869740105,0.02321213990049066,0.06625593774364597,bajo,477.53172115507664,1086.0757986677572,10.848492675863453,999.1448576623166,5436.372456844808
Fuencarral - El Pardo,1,1,100.0,1,0,0,0,0,0,0,0.08502724092900728,0.08544304579987799,0.09531924155573034,0.028961547477475973,alto,449.4543908730395,651.4277232704667,36.315886238434445,549.5317781101875,1938.4730471694204
Centro,2,2,160.0,1,0,1,0,0,0,0,0.00987818303130334,0.014591851135479129,0.0213043670349505,0.048673670852833015,bajo,210.49079881102685,713.4065500172894,163.2913838149916,1906.3003655371806,6662.169781098021
Centro,1,1,71.0,1,0,1,1,0,0,0,0.0061960148482748546,0.012381913081588421,0.01081518593275062,0.06216810460589823,bajo,106.2974691139224,616.8200194380352,127.49583347156326,728.0139747968605,8104.748519921544
Arganzuela,1,1,110.0,1,0,0,1,0,0,0,0.02102599581470599,0.021909284140745,0.011990340560634092,0.07710772257231675,medio,589.075155880276,714.733942309443,83.76454758056786,296.22858884982895,6389.0413230942095
Centro,1,1,138.0,1,0,1,0,0,0,0,0.007052543821533365,0.01676815265865073,0.021596014176201276,0.051390003473508736,bajo,253.74877581699246,769.8101714390609,26.946644949413198,1522.6983342539675,6961.670575993472
Hortaleza,1,2,91.0,1,0,0,1,0,0,0,0.09277308068615597,0.08183603773130989,0.09103219324371023,0.05649142899847735,alto,836.2209860682192,1601.0849382766687,5.088592845680635,1348.956810566083,2612.357969003098
Centro,2,2,131.0,1,0,1,1,0,0,0,0.008762488231089369,0.02428913122283274,0.02461013390373747,0.06029755229103453,bajo,257.0036368199586,733.366135517933,351.28248539507564,661.340582762627,5774.371864030778
Centro,1,1,106.0,1,0,1,1,0,0,0,0.007914606749548081,0.02154494900342201,0.02459677179550264,0.053974199746634144,bajo,146.31705332126523,842.1142563879232,121.06769692660478,1051.0987512525217,7227.636594660723
Moncloa - Aravaca,1,1,64.0,1,0,1,1,0,0,0,0.020118976117087226,0.03461644371624593,0.03680931092481796,0.056485859755250646,muy_alto,482.16801570821315,765.4537993285645,134.68891822040368,643.331488341983,5728.745681065038
Centro,1,1,129.0,1,0,1,1,1,0,0,0.008842019000206253,0.021773265707286,0.025340144331871463,0.05268498063290372,bajo,59.08877488752084,953.9041440755136,68.70866076636784,1117.8200542907489,7090.8213537041065
Centro,1,1,129.0,1,0,1,1,0,0,0,0.0050202489978083,0.02054486358095343,0.020798987349385477,0.06005173956089888,bajo,143.12068081351117,486.3184718018099,99.84293531793759,1001.3160760269172,5996.746369056606
Centro,1,2,63.0,1,0,0,1,0,0,0,0.011596861472162998,0.009192115051979385,0.005215634681004742,0.06378367623931104,bajo,226.66750404539576,568.0288276914763,166.38259702401527,205.86235076847768,6870.206719674362
Centro,2,4,243.0,1,0,0,1,1,0,0,0.010671550965062006,0.024449097643061947,0.02744242793121369,0.05374115380497532,bajo,126.21506580307681,901.3757927240615,52.85572005451443,909.6652767714957,7187.929647147015
Centro,1,1,62.0,1,0,1,0,0,0,0,0.003679157512257903,0.018179403608479524,0.01746445392103653,0.0615749421622913,bajo,265.5797432288856,405.0708493938076,52.18380864796254,1297.6066923885032,6085.508986740981
Centro,2,3,144.0,1,0,0,0,0,0,0,0.009158384136954016,0.006954539205439196,0.009201602619109859,0.059108263654835194,bajo,389.4980459276734,753.9844657592802,151.13540225935284,663.7728194347684,7745.844841914035
Centro,1,1,62.0,1,0,1,0,0,0,0,0.0050716663928159315,0.02019551107449392,0.019571307129569174,0.06167607346686421,bajo,352.25221805202654,506.7136269065563,116.76705332974565,1109.4428675294917,5946.371377218358
Centro,1,2,84.0,1,0,0,0,0,0,1,0.009924555405659712,0.010211996844890636,0.01753572909120304,0.05074405013683335,bajo,178.92860123693637,418.64733932059414,207.80327172020458,1610.4443616413198,6858.644470069766
Centro,1,1,90.0,1,0,0,0,0,0,0,0.011585288084458028,0.02001241573523719,0.025931446522703714,0.047341538275493256,bajo,131.58941157974934,1202.5191643505398,95.34752817361753,1408.8563840690133,6532.902096954477
